time,angle 1,velocity 1,angle 2,velocity 2,torque 1,torque 2
0.0,0,0,0,0,0,0
0.01,0.0,0.0,0.0,0.0,0,0
0.02,0.0,0.0,0.0,0.0,0,0
0.03,0.0,0.0,0.0,0.0,1.8333333333333333,-1.8333333333333333
0.04,0.00043952451204038655,0.0878271041009351,-0.0016068193848198914,-0.3217104454555193,1.8333333333333333,-1.8333333333333333
0.05,0.0017495263130678773,0.1739918528343673,-0.006421221751158904,-0.6411353392568067,1.8551804260853444,-1.8246751200767068
0.06,0.003911931302999473,0.25820376037246856,-0.014404916458260536,-0.9551862024713103,1.8551804260853444,-1.8246751200767068
0.07,0.006902406666264001,0.33950080269753374,-0.025496719356838046,-1.262375616771186,1.8084339901071274,-1.562543666962421
0.08,0.010652194442683224,0.40997003217035355,-0.03941226536824118,-1.519510972241346,1.8084339901071274,-1.562543666962421
0.09,0.015087074580209713,0.47642648053389003,-0.05584520803283066,-1.76552949822158,1.7498708673669314,-1.2528652104509266
0.1,0.020120846694237894,0.5296754095318474,-0.07443318565729108,-1.950158101827705,1.7498708673669314,-1.2528652104509266
0.11,0.025663225431138165,0.5780806178167716,-0.09479623990181449,-2.120308154477986,1.6991900763391952,-0.9773499965640112
0.12,0.031625756754345605,0.6136685263712216,-0.11656845928780551,-2.23174580056277,1.6991900763391952,-0.9773499965640112
0.13,0.037917888711528416,0.6439685134163999,-0.1393726119698026,-2.326564058315648,1.6612793149246843,-0.7580754358552371
0.14,0.0444562435905804,0.6629152299870852,-0.1628692744973692,-2.3701303904611284,1.6612793149246843,-0.7580754358552371
0.15,0.05115756912251026,0.676566950454397,-0.18671452404356687,-2.3962569939750726,1.6378243815065543,-0.60141566562388
0.16,0.057948778932957676,0.6809274316755897,-0.21061339410103133,-2.3808536953259436,1.6378243815065543,-0.60141566562388
0.17,0.06475882172670475,0.6803677032643336,-0.234272572827169,-2.3483842008491567,1.6288517465599144,-0.5067168404239957
0.18,0.0715281788857653,0.6728457590694018,-0.25745202659849725,-2.2849969102640753,1.6288517465599144,-0.5067168404239957
0.19,0.0782005676217322,0.661026526756434,-0.2799179975594881,-2.205816560375748,1.633247077315211,-0.469162237722508
0.2,0.08473117388112782,0.6445506717763164,-0.3014892714558537,-2.106202227902472,1.633247077315211,-0.469162237722508
0.21,0.0910788273605994,0.6244951576203631,-0.3219937217825007,-1.9926164613911894,1.6491372876601038,-0.48125260758539845
0.22,0.09721266014428981,0.601843335279917,-0.34130726565189495,-1.8681940517065356,1.6491372876601038,-0.48125260758539845
0.23,0.10310524154744657,0.5763021019664042,-0.35931614753130725,-1.731861762746051,1.6742961859074088,-0.5340644335807528
0.24,0.10873765594104906,0.5498568729037305,-0.37594786552580495,-1.592943121633287,1.6742961859074088,-0.5340644335807528
0.25,0.11409388921388045,0.5211164598975668,-0.3911403904114838,-1.4441987121050055,1.7065026566087935,-0.6183237736513109
0.26,0.11916449612511759,0.49276796008293694,-0.40486524497557763,-1.2995881674344463,1.7065026566087935,-0.6183237736513109
0.27,0.123942322526918,0.46260293049311163,-0.41710394545836227,-1.1471327207130935,1.7437807091283508,-0.7251845721157375
0.28,0.12842499936492272,0.4337658234210492,-0.42786395403035,-1.0040204782111197,1.7437807091283508,-0.7251845721157375
0.29,0.13261192345189537,0.40348760161655284,-0.4371619609555012,-0.8548824448524692,1.784506291063472,-0.8466817879479768
0.3,0.13650581094189726,0.3751806481928976,-0.4450336643272902,-0.7189196020348121,1.784506291063472,-0.8466817879479768
0.31,0.14011076823111812,0.34573094979120145,-0.4515231322860709,-0.5785692764213717,1.8274104772669701,-0.9759198570845625
0.32,0.14343310049979563,0.31867487139304007,-0.4566873970957447,-0.4540269043189057,1.8274104772669701,-0.9759198570845625
0.33,0.14648027439172448,0.2907244098656669,-0.46059099612831467,-0.3265537972097978,1.8715241711096449,-1.1070918121403552
0.34,0.1492611329156425,0.2654299984528936,-0.4633062957767429,-0.21650236468152442,1.8715241711096449,-1.1070918121403552
0.35000000000000003,0.15178556071198374,0.23946036689173597,-0.4649123182708582,-0.10480014789625472,1.9161036235491171,-1.2354140529805204
0.36,0.15406421857208483,0.21629410761655027,-0.46549160309110793,-0.011276770996660482,1.9161036235491171,-1.2354140529805204
0.37,0.15610874942036015,0.1926547507933925,-0.4651325049490682,0.08279018768270871,1.9605621350019815,-1.3570337165874806
0.38,0.157931118667765,0.17187985725127836,-0.4639232949819265,0.15863806211035264,1.9605621350019815,-1.3570337165874806
0.39,0.15954423039455515,0.15082096235613549,-0.461957211990586,0.23409380480484404,2.004419986667352,-1.4689387494767872
0.4,0.16096094374077885,0.13261770475961174,-0.4593244196885403,0.2918879442752768,2.004419986667352,-1.4689387494767872
0.41000000000000003,0.16219499661914574,0.11430440925537982,-0.45611918235326543,0.34852694793748695,2.047275193128693,-1.5688820269247743
0.42,0.1632597611877416,0.0987761885649874,-0.4524302310302177,0.38855539338239753,2.047275193128693,-1.5688820269247743
0.43,0.1641693938898325,0.08329110509882573,-0.4483495073430343,0.42684053690389434,2.0887921483309437,-1.6553200069100364
0.44,0.16493739186661965,0.07046312595407835,-0.4439614470707995,0.44996479989820426,2.0887921483309437,-1.6553200069100364
0.45,0.1655779028110864,0.05780396198818269,-0.43935279171949265,0.4709333627844367,2.128702671844534,-1.7273611022845845
0.46,0.16610414605566942,0.04762046976424092,-0.43460126543897887,0.47849884242208485,2.128702671844534,-1.7273611022845845
0.47000000000000003,0.16652982470518782,0.03769825244540952,-0.4297859975367921,0.4836696239499906,2.166813341471883,-1.7847170171466082
