Ankle Angle,Hip Angle,Knee Angle,Ankle Momentum,Hip Momentum,Knee Momentum,Ankle Power,Hip Power,Knee Power
-22.01431655883789,33.79816055297852,8.202593803405762,-0.02820300869643688,0.579514741897583,-0.04931110888719559,-0.01173833943903446,-0.2813712060451508,0.187020868062973
-22.36691589355469,33.93117294311524,9.834899139404319,-0.02573431879281993,0.5989482522010806,-0.006484477687626444,-0.02717309333384051,-0.1217155516147593,0.02354709468781724
-22.95582160949707,33.97121887207031,11.3460069656372,-0.02079401984810834,0.6155861139297485,0.03995721191167797,-0.02648772858083258,-0.009868075698614615,-0.1369372844696032
-23.54812202453614,33.9605712890625,12.90334568023683,-0.01279264539480203,0.6291255235671999,0.08905139118433034,-0.01091302819550025,0.04321011081337954,-0.3265896856784835
-23.77668151855469,33.93314819335937,14.66651134490964,-0.00142855206504483,0.6395460128784178,0.1391008764505379,-0.001226786838378721,0.05712361931800837,-0.5599075913429226
-23.44021034240723,33.89697265625,16.62054443359375,0.01315008383244276,0.647091805934906,0.1885077953338623,-0.01804815419018269,0.06304073333740234,-0.797518789768219
-22.45268898010252,33.8366455078125,18.59635772705081,0.03142250403761891,0.6512737512588501,0.2350908100605018,-0.07514939755201439,0.09973114281892856,-0.9477479934692397
-21.16157722473145,33.72761459350586,20.34660110473632,0.0526332572102545,0.6525189757347107,0.2775142371654508,-0.1515403240919108,0.1935397565364827,-0.9617756843566901
-19.82061958312987,33.53020248413085,21.70440597534181,0.07664884477853794,0.6504700541496277,0.3138931453227999,-0.2249175041913991,0.3685419023036971,-0.8291789531707752
-18.58420219421388,33.19493026733399,22.67114372253417,0.1028911069035526,0.6449272394180299,0.3427510321140286,-0.2803288459777826,0.6222281575202901,-0.6105256080627475
-17.43965721130371,32.68074798583984,23.33839225769043,0.1306297034025192,0.6359511613845825,0.3637608289718628,-0.3209608197212219,0.919316291809082,-0.3727419972419739
-16.36867523193358,31.89992446899413,23.68757934570313,0.1593152880668644,0.6226738929748533,0.3748935282230378,-0.3477543115615848,1.200562429428104,-0.1569452241063089
-15.39052066802979,30.89815292358399,23.76442718505859,0.1881153315305708,0.6054806947708131,0.377378249168396,-0.3514871060848238,1.413207006454467,0.03976363390683992
-14.58798084259033,29.72877273559569,23.57314605712891,0.2163964480161669,0.5838945627212523,0.3707274675369262,-0.3109081685543056,1.528818559646607,0.2320370405912413
-14.04250812530518,28.47915191650392,23.143998336792,0.2435057282447811,0.5578767776489262,0.3556226134300234,-0.2205883443355576,1.565551972389221,0.4274048984050723
-13.75493717193604,27.18082427978516,22.47947883605957,0.2690938413143158,0.5278753638267517,0.3335531055927277,-0.1081011369824409,1.563870429992676,0.6109204888343811
-13.69131450653076,25.79874916076658,21.50058174133299,0.2924820303916934,0.4935776710510249,0.3047374665737148,-0.02895938884466809,1.550690054893493,0.7390046358108534
-13.68314762115478,24.31388740539552,20.2705593109131,0.3137663483619688,0.4560833156108859,0.2714729428291323,-0.02184309139847717,1.529273843765259,0.7857276558876038
-13.60557651519775,22.71257514953612,18.85526084899901,0.3327059626579286,0.4157479703426358,0.2347287178039548,-0.09786738827824662,1.483225202560424,0.7357499241828913
-13.38388481140137,21.01722183227542,17.38967704772951,0.3493892252445219,0.3733981847763068,0.1959878146648412,-0.2136674910783751,1.399237561225893,0.6150986790657064
-13.03904914855957,19.26100158691406,15.97139072418213,0.3641897439956665,0.3299042284488678,0.1565132588148117,-0.3081482350826263,1.283505797386169,0.4679392278194427
-12.63747291564941,17.45336647033689,14.65492439270018,0.3772158384323122,0.2859806656837457,0.1174436956644053,-0.3136583089828486,1.147921633720396,0.3332516491413099
-12.29549121856689,15.59523029327387,13.38867340087887,0.3892108738422397,0.2423600763082492,0.07960429713129893,-0.2271864235401113,1.007079362869259,0.2221318870782825
-12.11164264678956,13.66234226226812,12.09866867065433,0.4006680309772488,0.1995493501424802,0.04375510737300019,-0.07048762738705164,0.8610742092132611,0.1272157043218639
-12.12922420501709,11.64516716003421,10.71023159027102,0.4123417556285857,0.1578478366136557,0.0104366665706043,0.09107302352785863,0.7028270483016992,0.03206571955233952
-12.30179023742676,9.571986198425293,9.215855598449707,0.4248851239681244,0.1171831116080284,-0.02025607228279114,0.2026718109846115,0.5295846462249756,-0.06776642054319382
-12.55049304962159,7.500910663604706,7.649750804901101,0.4393608927726748,0.07742740660905782,-0.04766554087400474,0.2178341537714002,0.344580036401746,-0.1613771528005612
-12.76362895965577,5.499845790862983,6.110475921630818,0.4562819480896002,0.03793505094945318,-0.07217405736446444,0.1601787328720067,0.1616890475153873,-0.232891279459001
-12.87508296966553,3.625437831878714,4.694727706909219,0.4765798807144159,-0.001969989389179995,-0.09351809322833957,0.06543589532375613,-0.006953756511206773,-0.2698299348354333
-12.8801851272583,1.905531215667748,3.477749347686784,0.5009968936443325,-0.0432263933122152,-0.1117079824209211,-0.01281702064443299,-0.1542378127574902,-0.2734236001968385
-12.82901191711426,0.3293949067592621,2.460135698318481,0.5297125577926636,-0.08653802424669266,-0.127004399895668,-0.05277938768267632,-0.2825599908828735,-0.2556428015232086
-12.77373199462891,-1.095419883728047,1.644721293449391,0.5638980627059942,-0.13324882388115,-0.138943585753441,-0.06557802706956882,-0.3962265610694901,-0.2268233060836788
-12.72546367645263,-2.414466238021886,0.9630194187164137,0.6029492020607007,-0.1835838675498978,-0.1480100631713869,-0.1011607438325904,-0.5073778390884432,-0.1959260314702979
